IP,Latency,AS,Dest,Source
192.0.0.1,17.046666666666667,[AS6983],www.iith.ac.in,Jio
218.248.6.135,80.96666666666665,[AS9829],www.iith.ac.in,Jio
192.0.0.1,6.333333333333333,[AS6983],www.youtube.com,Jio
216.58.200.142,94.82666666666667,[AS15169],www.youtube.com,Jio
192.0.0.1,21.53333333333333,[AS6983],www.ubuntu.com,Jio
185.125.190.20,413.8066666666667,[AS41231],www.ubuntu.com,Jio
192.0.0.1,7.573333333333333,[AS6983],www.codeforces.com,Jio
104.26.7.164,41.26,[AS13335],www.codeforces.com,Jio
192.0.0.1,9.043333333333333,[AS6983],www.chess.com,Jio
104.18.138.67,41.486666666666665,[AS13335],www.chess.com,Jio
192.0.0.1,7.286666666666666,[AS6983],www.wikipedia.org,Jio
103.102.166.224,166.11333333333332,[AS14907],www.wikipedia.org,Jio
192.0.0.1,6.203333333333333,[AS6983],www.github.com,Jio
20.207.73.82,52.72666666666667,[AS8075],www.github.com,Jio
192.0.0.1,11.426666666666668,[AS6983],www.zomato.com,Jio
192.0.0.1,7.046666666666667,[AS6983],www.olacabs.com,Jio
18.155.49.50,52.156666666666666,[AS16509],www.olacabs.com,Jio
192.0.0.1,6.626666666666666,[AS6983],www.zerodha.com,Jio
104.17.217.15,34.65333333333333,[AS13335],www.zerodha.com,Jio
